Age,WAR,G,PA,R,H,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
28,1.9,93,406,48,101,14,64,0,51,88,0.297,0.394,0.471,0.865,139,160
22,1.9,62,283,44,74,13,37,8,20,69,0.284,0.336,0.498,0.834,127,130
27,1.9,86,310,42,74,8,44,6,36,102,0.274,0.362,0.459,0.822,125,124
29,1.9,95,410,61,98,14,51,1,29,55,0.267,0.320,0.439,0.758,109,161
33,1.9,97,408,59,89,20,57,5,60,82,0.260,0.365,0.497,0.862,130,170
24,1.9,93,392,54,93,7,31,2,37,94,0.269,0.341,0.379,0.720,102,131
29,1.9,75,267,36,48,0,21,13,31,67,0.213,0.310,0.280,0.590,66,63
21,1.9,57,222,27,54,7,24,9,22,57,0.276,0.350,0.439,0.789,119,86
31,1.8,70,229,24,55,11,33,1,12,54,0.267,0.325,0.490,0.815,124,101
29,1.8,43,190,26,44,4,18,0,29,33,0.280,0.395,0.395,0.790,121,62
35,1.8,96,400,50,85,20,58,0,33,90,0.237,0.313,0.462,0.775,115,166
26,1.8,60,259,45,49,20,42,1,46,87,0.232,0.371,0.540,0.911,152,114
31,1.8,92,397,59,75,17,42,4,50,125,0.220,0.327,0.431,0.759,111,147
29,1.8,96,407,49,91,19,52,0,38,111,0.249,0.319,0.479,0.799,125,175
23,1.8,94,386,52,93,11,37,15,29,83,0.263,0.326,0.402,0.729,103,142
28,1.8,95,424,40,83,11,49,2,63,94,0.239,0.368,0.395,0.763,115,137
28,1.8,92,363,52,102,15,46,8,19,96,0.301,0.339,0.490,0.829,120,166
33,1.8,90,384,38,91,9,34,4,30,81,0.263,0.331,0.425,0.756,119,147
25,1.8,89,306,38,64,1,28,34,33,72,0.242,0.327,0.291,0.617,74,77
26,1.7,69,294,32,70,3,30,5,24,45,0.261,0.320,0.373,0.693,97,100
32,1.7,92,405,51,95,17,54,4,29,58,0.256,0.311,0.461,0.772,110,171
24,1.7,87,357,39,77,4,38,7,29,70,0.243,0.314,0.331,0.645,84,105
28,1.7,87,376,45,100,9,34,1,32,69,0.298,0.367,0.452,0.819,138,152
23,1.7,78,266,32,42,7,22,11,33,65,0.188,0.302,0.330,0.632,85,74
23,1.6,75,304,48,75,6,27,13,22,46,0.287,0.381,0.418,0.798,124,109
27,1.6,88,370,42,98,19,50,7,9,71,0.280,0.308,0.497,0.805,126,174
20,1.6,59,247,35,62,5,25,20,16,65,0.276,0.332,0.404,0.736,102,91
25,1.6,80,296,42,64,17,44,5,33,55,0.247,0.341,0.502,0.843,131,130
28,1.6,65,275,29,61,8,47,0,28,39,0.253,0.327,0.436,0.763,114,105
27,1.6,91,373,51,104,4,43,4,28,66,0.308,0.370,0.391,0.761,110,132
22,1.6,95,414,51,93,19,65,11,45,87,0.256,0.338,0.474,0.812,120,172
26,1.6,84,277,25,62,7,23,11,10,82,0.239,0.283,0.378,0.661,86,98
33,1.6,60,259,35,56,11,31,1,19,29,0.235,0.293,0.416,0.709,95,99
27,1.6,82,246,31,69,4,29,9,16,54,0.312,0.368,0.439,0.807,127,97
28,1.6,83,254,33,60,15,40,1,22,53,0.264,0.335,0.529,0.863,144,120
21,1.5,83,301,34,68,16,46,0,25,77,0.248,0.309,0.464,0.772,115,127
27,1.5,94,398,49,98,15,67,3,32,60,0.273,0.337,0.468,0.805,126,168
28,1.5,89,354,37,67,1,16,6,46,36,0.225,0.332,0.282,0.614,76,84
38,1.5,68,262,32,62,15,42,1,18,61,0.258,0.317,0.492,0.808,122,118
24,1.5,80,333,33,83,11,46,3,32,45,0.278,0.345,0.448,0.794,122,134
31,1.5,70,251,35,60,6,32,0,28,42,0.273,0.363,0.40,0.763,115,88
25,1.5,72,319,49,71,15,46,1,32,71,0.254,0.345,0.437,0.782,116,122
30,1.4,92,372,41,81,16,58,2,29,98,0.24,0.304,0.423,0.727,109,143
25,1.4,96,439,55,89,17,43,7,34,99,0.224,0.294,0.403,0.697,95,160
35,1.4,90,347,45,75,12,40,3,29,74,0.243,0.317,0.414,0.731,100,128
24,1.4,77,320,31,79,6,35,0,26,48,0.275,0.344,0.397,0.741,110,114
33,1.3,91,363,38,71,9,37,12,41,69,0.224,0.317,0.331,0.648,82,105
29,1.3,80,291,44,73,7,32,2,34,50,0.289,0.379,0.451,0.83,131,114
30,1.3,91,384,45,82,15,37,2,25,107,0.230,0.281,0.420,0.701,97,150
28,1.3,67,284,35,58,16,43,4,39,56,0.242,0.350,0.496,0.846,129,119
28,1.3,89,384,48,97,9,53,1,32,52,0.282,0.344,0.398,0.742,105,137
31,1.3,47,132,19,33,2,13,7,12,18,0.277,0.344,0.361,0.705,102,43
29,1.3,76,303,49,61,10,40,7,41,51,0.236,0.337,0.421,0.757,111,109
23,1.3,93,323,47,73,9,34,3,40,68,0.263,0.359,0.439,0.798,108,122
30,1.3,76,253,35,71,2,19,18,14,42,0.310,0.364,0.389,0.753,108,89
34,1.2,83,300,40,72,7,47,2,16,29,0.258,0.302,0.394,0.696,91,110
